"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vin"
"22 city / 30 hwy","SUV","White","New 2025 Volkswagen Tiguan SE with  All-Wheel Drive, Keyless Entry, Spoiler, Heated Seats, Power Liftgate, 19 Inch Wheels, Alloy Wheels, Heated Mirrors, and Satellite Radio","4 Cyl 2.0 L","Chicago, IL","4 miles","$37,416$37,416 MSRP","https://carfax-img.vast.com/carfax/v2/-2936002436868843854/1/344x258","New 2025 Volkswagen Tiguan SE","Automatic","https://www.carfax.com/vehicle/3VVMR7RM6SM008238","3VVMR7RM6SM008238"
"Black","3 Cyl 1.5 L","SUV","New 2025 Ford Bronco Sport Big Bend with  Four-Wheel Drive, Ecoboost, Keyless Entry, Alloy Wheels, Led Lights, 17 Inch Wheels, Heated Mirrors, Satellite Radio, and Cloth Seats","Automatic","Bensenville, IL  (17 miles from Chicago, IL)","7 miles","$29,302$31,650 MSRP","https://carfax-img.vast.com/carfax/v2/2348029256777324811/1/344x258","New 2025 Ford Bronco Sport Big Bend",,"https://www.carfax.com/vehicle/3FMCR9BN5SRE52007","3FMCR9BN5SRE52007"
"19 city / 24 hwy","SUV","White","New 2025 Hyundai Palisade SEL with  All-Wheel Drive, Navigation System, Spoiler, Trailer Wiring, Tinted Windows, Folding Mirrors, Power Liftgate, Blind Spot Monitor, 18 Inch Wheels, Bench Seat, and Paddle Shifter","6 Cyl 3.8 L","Chicago, IL","10 miles","$43,026$44,819 MSRP","https://carfax-img.vast.com/carfax/v2/-3013514518861209904/1/344x258","New 2025 Hyundai Palisade SEL","Automatic","https://www.carfax.com/vehicle/KM8R2DGEXSU935432","KM8R2DGEXSU935432"
"21 city / 27 hwy","SUV","Black","New 2025 BMW X4 xDrive30i with  All-Wheel Drive, Premium Package, Remote Start, Navigation System, Keyless Entry, Heated Seats, Cargo Cover, Heated Steering Wheel, Bucket Seats, Power Liftgate, and Blind Spot Monitor","4 Cyl 2.0 L","Chicago, IL","9 miles","$59,125$59,125 MSRP","https://carfax-img.vast.com/carfax/v2/4998196320708014332/1/344x258","New 2025 BMW X4 xDrive30i","Automatic","https://www.carfax.com/vehicle/5UX33DT01S9032279","5UX33DT01S9032279"
"Gray","4 Cyl 2.5 L","SUV","New 2025 Mazda CX-5 S with  All-Wheel Drive, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Power Liftgate, Alloy Wheels, 17 Inch Wheels, Satellite Radio, Seat Memory, and Premium Sound System","Automatic","Merrillville, IN  (32 miles from Chicago, IL)","0 miles","$31,723$33,645 MSRP","https://carfax-img.vast.com/carfax/v2/6683880917721271829/1/344x258","New 2025 Mazda CX-5 S Preferred",,"https://www.carfax.com/vehicle/JM3KFBCL3S0634924","JM3KFBCL3S0634924"
"24 city / 33 hwy","Sedan","Silver","New 2025 Mercedes-Benz C-Class C 300 with  All-Wheel Drive, Night Package, Navigation System, Heated Seats, Heated Steering Wheel, Ambient Lighting, 18 Inch Wheels, 19 Inch Wheels, Led Lights, Ventilated Seats, and Cooled Seats","4 Cyl 2.0 L","Westmont, IL  (19 miles from Chicago, IL)","9 miles","$60,665$60,665 MSRP","https://carfax-img.vast.com/carfax/v2/-8095869197514305150/1/344x258","New 2025 Mercedes-Benz C-Class C 300","Automatic","https://www.carfax.com/vehicle/W1KAF4HB0SR264307","W1KAF4HB0SR264307"
"19 city / 24 hwy","SUV","Black","New 2025 Hyundai Palisade Calligraphy with  All-Wheel Drive, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Power Liftgate, Alloy Wheels, 20 Inch Wheels, and Third Row Seating","6 Cyl 3.8 L","Aurora, IL  (32 miles from Chicago, IL)","13 miles","$53,824$55,330 MSRP","https://carfax-img.vast.com/carfax/v2/1637966398068211424/1/344x258","New 2025 Hyundai Palisade Calligraphy","Automatic","https://www.carfax.com/vehicle/KM8R7DGE6SU929242","KM8R7DGE6SU929242"
"Black","4 Cyl 2.0 L","SUV","New 2025 BMW X3 xDrive30 with  All-Wheel Drive, Convenience Package, Remote Start, Navigation System, Keyless Entry, Spoiler, Heated Seats, Heated Steering Wheel, Power Liftgate, 19 Inch Wheels, and Alloy Wheels","Automatic","Lake Bluff, IL  (30 miles from Chicago, IL)","4 miles","$54,485$54,485 MSRP","https://carfax-img.vast.com/carfax/v2/-1835625058679590946/1/344x258","New 2025 BMW X3 xDrive30",,"https://www.carfax.com/vehicle/5UX53GP03S9017674","5UX53GP03S9017674"
"19 city / 28 hwy","Minivan","White","New 2025 Honda Odyssey Touring with  Front-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Leather Seats, Passenger Van, Heated Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","6 Cyl 3.5 L","Crystal Lake, IL  (45 miles from Chicago, IL)","6 miles","$48,815$48,815 MSRP","https://carfax-img.vast.com/carfax/v2/-2969743649012340354/1/344x258","New 2025 Honda Odyssey Touring","Automatic","https://www.carfax.com/vehicle/5FNRL6H83SB065697","5FNRL6H83SB065697"
"20 city / 27 hwy","SUV","Blue","New 2025 Chevrolet Traverse RS with  Front-Wheel Drive, Preferred Equipment Package, Remote Start, Navigation System, Keyless Entry, Trailer Hitch, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, and Bucket Seats","4 Cyl 2.5 L","Glendale Heights, IL  (23 miles from Chicago, IL)","3 miles","$55,391$57,095 MSRP","https://carfax-img.vast.com/carfax/v2/-8192833569226787707/1/344x258","New 2025 Chevrolet Traverse RS","Automatic","https://www.carfax.com/vehicle/1GNERLRS6SJ283185","1GNERLRS6SJ283185"
