"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vin"
"19 city / 24 hwy","SUV","Gray","New 2025 Genesis GV80 2.5T with  All-Wheel Drive, Driver Assistance Package, Navigation System, Spoiler, Heated Seats, Cargo Cover, Heated Steering Wheel, Tinted Windows, Dual Exhaust, Blind Spot Monitor, and Paddle Shifter","4 Cyl 2.5 L","Chicago, IL","2 miles","$74,005$74,005 MSRP","https://carfax-img.vast.com/carfax/v2/8631245027270300754/1/344x258","New 2025 Genesis GV80 2.5T Prestige","Automatic","https://www.carfax.com/vehicle/KMUHCESB4SU278222","KMUHCESB4SU278222"
"22 city / 28 hwy","SUV","Red","New 2025 Buick Envision Sport Touring with  All-Wheel Drive, Preferred Equipment Package, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Cargo Cover, Heated Steering Wheel, Bucket Seats, and Blind Spot Monitor","4 Cyl 2.0 L","Villa Park, IL  (19 miles from Chicago, IL)","4 miles","$41,745$43,735 MSRP","https://carfax-img.vast.com/carfax/v2/-1310456132787522301/1/344x258","New 2025 Buick Envision Sport Touring","Automatic","https://www.carfax.com/vehicle/LRBFZLE43SD028236","LRBFZLE43SD028236"
"25 city / 33 hwy","SUV","Blue","New 2025 Volkswagen Taos SE with  All-Wheel Drive, Keyless Entry, Spoiler, Heated Seats, Heated Steering Wheel, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Heated Mirrors, Satellite Radio, and Cloth Seats","4 Cyl 1.5 L","Saint Charles, IL  (33 miles from Chicago, IL)","10 miles","$31,757$33,030 MSRP","https://carfax-img.vast.com/carfax/v2/3402362414105327526/1/344x258","New 2025 Volkswagen Taos SE","Automatic","https://www.carfax.com/vehicle/3VVVC7B28SM050134","3VVVC7B28SM050134"
"40 city / 34 hwy","SUV","Black","New 2025 Honda CR-V Sport Touring with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Tinted Windows, Folding Mirrors, and Dual Exhaust","4 Cyl 2.0 L","Elgin, IL  (39 miles from Chicago, IL)","4 miles","$41,730$42,495 MSRP","https://carfax-img.vast.com/carfax/v2/-4227108032710968908/1/344x258","New 2025 Honda CR-V Sport Touring","Automatic","https://www.carfax.com/vehicle/7FARS6H91SE107302","7FARS6H91SE107302"
"Black","4 Cyl 2.0 L","SUV","New 2026 Honda CR-V Sport-L with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Bucket Seats, Power Liftgate, Blind Spot Monitor, Alloy Wheels, and Led Lights","Automatic","Highland Park, IL  (21 miles from Chicago, IL)","7 miles","$41,620$41,620 MSRP","https://carfax-img.vast.com/carfax/v2/4023790946891156595/1/344x258","New 2026 Honda CR-V Sport-L",,"https://www.carfax.com/vehicle/7FARS6H89TE003925","7FARS6H89TE003925"
"35 city / 35 hwy","SUV","Black","New 2025 Hyundai Tucson SEL Convenience with  All-Wheel Drive, Navigation System, Keyless Entry, Spoiler, Heated Seats, Cargo Cover, Power Liftgate, 18 Inch Wheels, Alloy Wheels, Heated Mirrors, and Satellite Radio","4 Cyl 1.6 L","Schaumburg, IL  (25 miles from Chicago, IL)","12 miles","$36,563$38,435 MSRP","https://carfax-img.vast.com/carfax/v2/-375791699357822786/1/344x258","New 2025 Hyundai Tucson SEL Convenience","Automatic","https://www.carfax.com/vehicle/KM8JCDD17SU304181","KM8JCDD17SU304181"
"18 city / 20 hwy","SUV","Beige","New 2025 Land Rover Defender 110 with  All-Wheel Drive, Spare Tire, Navigation System, Keyless Entry, Fog Lights, Heated Seats, Heated Steering Wheel, Blind Spot Monitor, 19 Inch Wheels, Alloy Wheels, and Parking Sensors","6 Cyl 3.0 L","Naperville, IL  (30 miles from Chicago, IL)","12 miles","$79,733$77,233 MSRP","https://carfax-img.vast.com/carfax/v2/3159570590435671759/1/344x258","New 2025 Land Rover Defender 110 S","Automatic","https://www.carfax.com/vehicle/SALEJ7EU4S2401798","SALEJ7EU4S2401798"
"49 city / 52 hwy","Sedan","Black","New 2025 Hyundai Elantra SEL with  Front-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Led Lights, Splash Guards, Lane Departure Warning, and Heated Mirrors","4 Cyl 1.6 L","Matteson, IL  (27 miles from Chicago, IL)","12 miles","$28,715$29,185 MSRP","https://carfax-img.vast.com/carfax/v2/1334182090988795311/1/344x258","New 2025 Hyundai Elantra SEL Sport","Automatic","https://www.carfax.com/vehicle/KMHLM4DJ5SU153363","KMHLM4DJ5SU153363"
"21 city / 27 hwy","SUV","Silver","New 2025 Acura RDX Technology with  All-Wheel Drive, Technology Package, Navigation System, Keyless Entry, Spoiler, Heated Seats, Power Liftgate, 19 Inch Wheels, Alloy Wheels, Lane Departure Warning, and Heated Mirrors","4 Cyl 2.0 L","Merrillville, IN  (31 miles from Chicago, IL)","12 miles","$48,650$48,650 MSRP","https://carfax-img.vast.com/carfax/v2/-1493844435040057979/1/344x258","New 2025 Acura RDX Technology","Automatic","https://www.carfax.com/vehicle/5J8TC2H51SL027937","5J8TC2H51SL027937"
"23 city / 31 hwy","SUV","Black","New 2025 Mercedes-Benz GLC 300 with  All-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Heated Steering Wheel, Ambient Lighting, Power Liftgate, 19 Inch Wheels, and Alloy Wheels","4 Cyl 2.0 L","Barrington, IL  (31 miles from Chicago, IL)","9 miles",,"https://carfax-img.vast.com/carfax/v2/-7433887416609683691/1/344x258","New 2025 Mercedes-Benz GLC 300","Automatic","https://www.carfax.com/vehicle/W1NKM4HB4SF402588","W1NKM4HB4SF402588"
