"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vin"
"42 city / 36 hwy","SUV","Blue","New 2025 Ford Escape ST-Line with  Front-Wheel Drive, Technology Package, Navigation System, Keyless Entry, Spoiler, Bucket Seats, Power Liftgate, 18 Inch Wheels, Alloy Wheels, and Satellite Radio","4 Cyl 2.5 L","Tampa, FL","3 miles","$28,799$35,475 MSRP","https://carfax-img.vast.com/carfax/v2/-2744537572382237089/1/344x258","New 2025 Ford Escape ST-Line","Automatic","https://www.carfax.com/vehicle/1FMCU0MZ8SUB29038","1FMCU0MZ8SUB29038"
"18 city / 25 hwy","SUV","White","New 2025 Ford Explorer ST with  Four-Wheel Drive, Navigation System, Ecoboost, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Heated Steering Wheel, Power Liftgate, Captains Chairs, and Alloy Wheels","6 Cyl 3.0 L","Clermont, FL  (48 miles from Tampa, FL)","3 miles","$54,995$58,650 MSRP","https://carfax-img.vast.com/carfax/v2/-1057895394101575945/1/344x258","New 2025 Ford Explorer ST","Automatic","https://www.carfax.com/vehicle/1FMWK8GC2SGB51155","1FMWK8GC2SGB51155"
"48 city / 47 hwy","Sedan","White","New 2025 Toyota Camry SE with  Front-Wheel Drive, Convenience Package, Keyless Entry, Spoiler, Bucket Seats, Ambient Lighting, Blind Spot Monitor, 18 Inch Wheels, Alloy Wheels, Smart Key, and Led Lights","4 Cyl 2.5 L","Bradenton, FL  (50 miles from Tampa, FL)","0 miles","$33,670$35,602 MSRP","https://carfax-img.vast.com/carfax/v2/-7296383254075231595/1/344x258","New 2025 Toyota Camry SE","Automatic","https://www.carfax.com/vehicle/4T1DAACK7SU619302","4T1DAACK7SU619302"
"25 city / 33 hwy","SUV","Gray","New 2025 Hyundai Tucson Limited Edition with  Front-Wheel Drive, Navigation System, Keyless Entry, Trailer Hitch, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Power Liftgate, 19 Inch Wheels, and Alloy Wheels","4 Cyl 2.5 L","Tampa, FL","5 miles","$38,134$41,535 MSRP","https://carfax-img.vast.com/carfax/v2/2880603196380988836/1/344x258","New 2025 Hyundai Tucson Limited Edition","Automatic","https://www.carfax.com/vehicle/5NMJE3DE0SH567597","5NMJE3DE0SH567597"
"18 city / 22 hwy","SUV","Gray","New 2025 Ford Bronco Outer Banks with  Four-Wheel Drive, Navigation System, Ecoboost, Keyless Entry, Fog Lights, Leather Seats, Running Boards, Heated Seats, Heated Steering Wheel, Bucket Seats, and Blind Spot Monitor","4 Cyl 2.3 L","Clearwater, FL  (24 miles from Tampa, FL)","5 miles","$59,994","https://carfax-img.vast.com/carfax/v2/3656680253132395139/1/344x258","New 2025 Ford Bronco Outer Banks","Automatic","https://www.carfax.com/vehicle/1FMDE8BH6SLA52900","1FMDE8BH6SLA52900"
"26 city / 32 hwy","SUV","Silver","New 2025 Honda HR-V EX-L with  Front-Wheel Drive, Remote Start, Keyless Entry, Leather Seats, Heated Seats, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Lane Departure Warning, Heated Mirrors, and Satellite Radio","4 Cyl 2.0 L","Wesley Chapel, FL  (8 miles from Tampa, FL)","4 miles","$29,719$30,895 MSRP","https://carfax-img.vast.com/carfax/v2/8801391451410087765/1/344x258","New 2025 Honda HR-V EX-L","Automatic","https://www.carfax.com/vehicle/3CZRZ1H78SM758196","3CZRZ1H78SM758196"
"White","8 Cyl 6.8 L","Pickup","New 2024 Ford F-250 XL with  Four-Wheel Drive, Payload Package, Chrome Package, Keyless Entry, Trailer Hitch, Running Boards, Bench Seat, Super Cab, 17 Inch Wheels, Heated Mirrors, and Steel Wheels","Automatic","Bartow, FL  (32 miles from Tampa, FL)","0 miles","$46,296$53,055 MSRP","https://carfax-img.vast.com/carfax/v2/-7474719050945717050/1/344x258","New 2024 Ford F-250 XL",,"https://www.carfax.com/vehicle/1FT7X2BAXREF53802","1FT7X2BAXREF53802"
"Blue","8 Cyl 6.2 L","Pickup","New 2025 GMC Sierra 1500 Denali Ultimate with  Four-Wheel Drive, Remote Start, Leather Seats, and Keyless Ignition","Automatic","Tampa, FL","5 miles","$72,994$87,304 MSRP","https://carfax-img.vast.com/carfax/v2/5187829940997703650/1/344x258","New 2025 GMC Sierra 1500 Denali Ultimate",,"https://www.carfax.com/vehicle/1GTUUHEL7SZ293532","1GTUUHEL7SZ293532"
"Gray","6 Cyl 2.7 L","Pickup","New 2025 Ford F-150 STX with  Four-Wheel Drive, Spare Tire, Ecoboost, Keyless Entry, Trailer Hitch, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Led Lights, 20 Inch Wheels, and Lane Departure Warning","Automatic","Tampa, FL","0 miles","$53,155$53,155 MSRP","https://carfax-img.vast.com/carfax/v2/4966434152445767073/1/344x258","New 2025 Ford F-150 STX",,"https://www.carfax.com/vehicle/1FTEW2LP3SFB15541","1FTEW2LP3SFB15541"
"Gray","8 Cyl 6.7 L","Pickup","New 2025 Ford F-250 Lariat with  Four-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Fog Lights, Trailer Hitch, Running Boards, Subwoofer, Trailer Wiring, Heated Steering Wheel, and Blind Spot Monitor","Automatic","Tampa, FL","21 miles","$79,706$84,234 MSRP","https://carfax-img.vast.com/carfax/v2/6150682702014443253/1/344x258","New 2025 Ford F-250 Lariat",,"https://www.carfax.com/vehicle/1FT8W2BT5SED00272","1FT8W2BT5SED00272"
