"MPG","bodyType","color","description","engine","location","mileage","price","primaryImage","title","transmission","url","vin"
"28 city / 31 hwy","SUV","Blue","New 2025 Chevrolet Trax LT with  Front-Wheel Drive, Navigation System, Lane Departure Warning, Satellite Radio, Keyless Ignition, and Vinyl Seats","3 Cyl 1.2 L","Clearwater, FL  (27 miles from Tampa, FL)","5 miles","$24,765$24,765 MSRP","https://carfax-img.vast.com/carfax/v2/-892495173244243719/1/344x258","New 2025 Chevrolet Trax LT","Automatic","https://www.carfax.com/vehicle/KL77LHEP4SC272267","KL77LHEP4SC272267"
"26 city / 33 hwy","SUV","Gray","New 2025 Mazda CX-30 S with  All-Wheel Drive, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Cargo Cover, 18 Inch Wheels, Alloy Wheels, Heated Mirrors, Seat Memory, and Premium Sound System","4 Cyl 2.5 L","Port Richey, FL  (24 miles from Tampa, FL)","0 miles","$31,900$31,900 MSRP","https://carfax-img.vast.com/carfax/v2/-6142704818921217084/1/344x258","New 2025 Mazda CX-30 S Carbon Edition","Automatic","https://www.carfax.com/vehicle/3MVDMBCM3SM787136","3MVDMBCM3SM787136"
"White","8 Cyl 6.6 L","Chassis","New 2025 Chevrolet Silverado 3500HD Work Truck with  Four-Wheel Drive, Convenience Package, Preferred Equipment Package, Camper Package, Spare Tire, Navigation System, Keyless Entry, Double Cab, Tinted Windows, Folding Mirrors, and 18 Inch Wheels","Automatic","Tarpon Springs, FL  (23 miles from Tampa, FL)","6 miles","$75,636$63,618 MSRP","https://carfax-img.vast.com/carfax/v2/-6289666587129992310/1/344x258","New 2025 Chevrolet Silverado 3500HD Work Truck",,"https://www.carfax.com/vehicle/1GB5KSEY3SF227245","1GB5KSEY3SF227245"
"19 city / 26 hwy","SUV","Gray","New 2025 Jeep Grand Cherokee Altitude with  Rear-Wheel Drive, Remote Start, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, Power Liftgate, 18 Inch Wheels, Alloy Wheels, and 17 Inch Wheels","6 Cyl 3.6 L","Tampa, FL","0 miles","$35,230$44,230 MSRP","https://carfax-img.vast.com/carfax/v2/-3272001465649939000/1/344x258","New 2025 Jeep Grand Cherokee Altitude","Automatic","https://www.carfax.com/vehicle/1C4RJGAG0SC319943","1C4RJGAG0SC319943"
"18 city / 23 hwy","SUV","Gray","New 2025 Kia Telluride SX Prestige with  All-Wheel Drive, Remote Start, Navigation System, Keyless Entry, Fog Lights, Trailer Hitch, Spoiler, Leather Seats, Heated Seats, Heated Steering Wheel, and Bucket Seats","6 Cyl 3.8 L","Bradenton, FL  (50 miles from Tampa, FL)","0 miles","$53,172$55,970 MSRP","https://carfax-img.vast.com/carfax/v2/4237693324252857759/1/344x258","New 2025 Kia Telluride SX Prestige X-Line","Automatic","https://www.carfax.com/vehicle/5XYP5DGCXSG645520","5XYP5DGCXSG645520"
"26 city / 33 hwy","SUV","Gray","New 2025 Mazda CX-30 S with  All-Wheel Drive, Premium Package, Remote Start, Navigation System, Keyless Entry, Spoiler, Leather Seats, Heated Seats, Bucket Seats, Power Liftgate, and Blind Spot Monitor","4 Cyl 2.5 L","Wesley Chapel, FL  (8 miles from Tampa, FL)","8 miles","$33,451$34,365 MSRP","https://carfax-img.vast.com/carfax/v2/3095169196287417376/1/344x258","New 2025 Mazda CX-30 S Premium","Automatic","https://www.carfax.com/vehicle/3MVDMBDM7SM794055","3MVDMBDM7SM794055"
"14 city / 19 hwy","SUV","Red","New 2025 Chevrolet Suburban Premier with  Four-Wheel Drive, Preferred Equipment Package, Remote Start, Spare Tire, Navigation System, Keyless Entry, Fog Lights, Trailer Hitch, Leather Seats, Running Boards, and Heated Seats","8 Cyl 5.3 L","Tarpon Springs, FL  (23 miles from Tampa, FL)","6 miles","$80,090$82,090 MSRP","https://carfax-img.vast.com/carfax/v2/-2463529115651174338/1/344x258","New 2025 Chevrolet Suburban Premier","Automatic","https://www.carfax.com/vehicle/1GNS6FRD2SR228037","1GNS6FRD2SR228037"
"White","Electric","SUV","New 2025 Mercedes-Benz G-Class G 580 with  All-Wheel Drive, Night Package, Navigation System, Keyless Entry, Fog Lights, Leather Seats, Running Boards, Heated Seats, Cargo Cover, Heated Steering Wheel, and Bucket Seats","Automatic","Tampa, FL","43 miles","$183,350$183,350 MSRP","https://carfax-img.vast.com/carfax/v2/-7176258501651914554/1/344x258","New 2025 Mercedes-Benz G-Class G 580",,"https://www.carfax.com/vehicle/W1NWM0AB8SX026587","W1NWM0AB8SX026587"
"Blue","4 Cyl 2.0 L","Hatchback","New 2025 Toyota Prius Prime SE with  Front-Wheel Drive, Navigation System, Keyless Entry, Cargo Cover, Heated Steering Wheel, Bucket Seats, Blind Spot Monitor, Alloy Wheels, Led Lights, 17 Inch Wheels, and Limited Slip Differential","Automatic","Bradenton, FL  (50 miles from Tampa, FL)","0 miles","$35,587$36,150 MSRP","https://carfax-img.vast.com/carfax/v2/-7615695459913104301/1/344x258","New 2025 Toyota Prius Prime SE",,"https://www.carfax.com/vehicle/JTDACACU0S3044887","JTDACACU0S3044887"
"28 city / 31 hwy","SUV","Red","New 2025 Chevrolet Trax LT with  Front-Wheel Drive, Convenience Package, Driver Confidence Package, Preferred Equipment Package, Remote Start, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, and Roof Rails","3 Cyl 1.2 L","Clearwater, FL  (24 miles from Tampa, FL)","1 miles","$25,313$26,645 MSRP","https://carfax-img.vast.com/carfax/v2/6659599068692377387/1/344x258","New 2025 Chevrolet Trax LT","Automatic","https://www.carfax.com/vehicle/KL77LHEP9SC285712","KL77LHEP9SC285712"
"25 city / 29 hwy","SUV","Blue","New 2024 Ford Bronco Sport Big Bend with  Four-Wheel Drive, Ecoboost, Keyless Entry, 18 Inch Wheels, Sync 3, Alloy Wheels, 17 Inch Wheels, Heated Mirrors, Satellite Radio, and Cloth Seats","3 Cyl 1.5 L","Davenport, FL  (44 miles from Tampa, FL)","19 miles","$28,298$32,400 MSRP","https://carfax-img.vast.com/carfax/v2/-3555366096251944303/1/344x258","New 2024 Ford Bronco Sport Big Bend","Automatic","https://www.carfax.com/vehicle/3FMCR9B6XRRF59279","3FMCR9B6XRRF59279"
"19 city / 26 hwy","SUV","Gray","New 2025 Jeep Grand Cherokee Limited Edition with  Rear-Wheel Drive, Navigation System, Keyless Entry, Fog Lights, Spoiler, Heated Seats, Heated Steering Wheel, Power Liftgate, 18 Inch Wheels, Alloy Wheels, and 20 Inch Wheels","6 Cyl 3.6 L","Bradenton, FL  (46 miles from Tampa, FL)","9 miles","$44,517$53,660 MSRP","https://carfax-img.vast.com/carfax/v2/5857183417342295887/1/344x258","New 2025 Jeep Grand Cherokee Limited Edition","Automatic","https://www.carfax.com/vehicle/1C4RJGBG5SC335781","1C4RJGBG5SC335781"
"White","8 Cyl 5.3 L","Pickup","New 2025 Chevrolet Silverado 1500 Work Truck with  Rear-Wheel Drive, Convenience Package, Value Package, Preferred Equipment Package, Suspension Package, Keyless Entry, Tinted Windows, Blind Spot Monitor, 17 Inch Wheels, Lane Departure Warning, and Locking Differential","Automatic","Lake Wales, FL  (47 miles from Tampa, FL)","5 miles","$36,747$42,820 MSRP","https://carfax-img.vast.com/carfax/v2/-4573894652507711539/1/344x258","New 2025 Chevrolet Silverado 1500 Work Truck",,"https://www.carfax.com/vehicle/3GCNAAED8SG229237","3GCNAAED8SG229237"
"Black","6 Cyl 3.0 L","SUV","New 2026 BMW X7 xDrive40i with  All-Wheel Drive, Premium Package, Navigation System, Keyless Entry, Spoiler, Heated Seats, Heated Steering Wheel, Alloy Wheels, Third Row Seating, Ventilated Seats, and Heated Mirrors","Automatic","Palm Harbor, FL  (23 miles from Tampa, FL)","6 miles","$91,925$91,925 MSRP","https://carfax-img.vast.com/carfax/v2/4459124228767350854/1/344x258","New 2026 BMW X7 xDrive40i",,"https://www.carfax.com/vehicle/5UX23EM02T9026279","5UX23EM02T9026279"
"13 city / 21 hwy","Convertible","Gold","New 2025 Mercedes-Benz SL-Class AMG SL 63 with  All-Wheel Drive, Driver Assistance Package, Navigation System, Keyless Entry, Leather Seats, Heated Seats, Heated Steering Wheel, Bucket Seats, Power Liftgate, Blind Spot Monitor, and Alloy Wheels","8 Cyl 4.0 L","Clearwater, FL  (25 miles from Tampa, FL)","20 miles","$220,000$220,000 MSRP","https://carfax-img.vast.com/carfax/v2/-7168876311879175447/1/344x258","New 2025 Mercedes-Benz SL-Class AMG SL 63","Automatic","https://www.carfax.com/vehicle/W1KVK8BB0SF023457","W1KVK8BB0SF023457"
